Produit,Allergène,Score,Lien,pix,Description,composition
28 AUCHAN BIO     Pâte brisée 230g,presence de   ble ou hybrides et produits a base de ces cereales,D,https://www.auchan.fr/auchan-bio-pate-brisee/pr-C1219789,2652,na,na
AUCHAN     Pâte brisée pur beurre sans additif 230g,"presence de   ble ou hybrides et produits a base de ces cereales,lait et produits a base de lait  y compris lactose ",D,https://www.auchan.fr/auchan-pate-brisee-pur-beurre-sans-additif/pr-C1464485,2653,na,na
6 AUCHAN ESSENTIEL     Pâte brisée 230g,presence de   ble ou hybrides et produits a base de ces cerealestraces de   lait et produits a base de lait  y compris lactose ,D,https://www.auchan.fr/auchan-essentiel-pate-brisee/pr-C1222116,2654,na,na
HERTA     Trésors de grand mère pâte brisée pur beurre 2x280g,"ble,beurre",D,https://www.auchan.fr/herta-tresors-de-grand-mere-pate-brisee-pur-beurre/pr-C1453053,2655,na,na
3 SCHNEIDER     Fonds pour flammekueche tarte flambée 440g4 pièces,gluten,na,https://www.auchan.fr/schneider-fonds-pour-flammekueche-tarte-flambee/pr-C1222079,2656,na,na
HERTA     Trésor de Grand Mère Pâte brisée plus épaisse pur beurre 280g,"ble,beurre",D,https://www.auchan.fr/herta-tresor-de-grand-mere-pate-brisee-plus-epaisse-pur-beurre/pr-C1458581,2657,na,na
STOEFFLER     Pâte à flammekueche et à tartes fines 2x160g,"gluten, lait ",C,https://www.auchan.fr/stoeffler-pate-a-flammekueche-et-a-tartes-fines/pr-C1218300,2658,na,na
HERTA     Tarte en or pâte brisée sans huile de palme ni additif 690g2+1 offerte,"ble,beurre",C,https://www.auchan.fr/herta-tarte-en-or-pate-brisee-sans-huile-de-palme-ni-additif/pr-C1476937,2659,na,na
36 AUCHAN LE TRAITEUR     Gratin dauphinois à la crème 1kg4 portions,"presence de   lait et produits a base de lait  y compris lactose traces de   amandes  amygdalus communis l ,avoine ou hybrides et produits a base de ces cereales,ble ou hybrides et produits a base de ces cereales,celeri et produits a base de celeri,crustaces et produits a base de crustaces,epeautre ou hybrides et produits a base de ces cereales,graines de sesame et produits a base de graines de sesame,kamut ou hybrides et produits a base de ces cereales,mollusques et produits a base de mollusques,moutarde et produits a base de moutarde,noisettes  corylus avellana, et produits a base de noisettes,noix  juglans regia, et produits a base de noix,noix de cajou et produits a base de noix de cajou  anacardium occidentale,noix de macadamia et noix du queensland, et produits a base de ces noix  macadamia ternifolia,noix de pecan et produits a base de noix de pecan [carya illinoiesis  wangenh   k  koch],noix du bresil et produits a base de noix du bresil  bertholletia excelsa,oeufs et produits a base  oeufs,orge ou hybrides, et produits a base de ces cereales,pistaches  pistacia vera, et produits a base de pistaches,poissons et produits a base de poissons,seigle ou hybrides, et produits a base de ces cereales,soja et produits a base de soja",na,https://www.auchan.fr/auchan-le-traiteur-gratin-dauphinois-a-la-creme/pr-C1348749,2660,na,na
1 AUCHAN LE TRAITEUR     Riz cantonais 300g1 portion,"presence de   ble ou hybrides et produits a base de ces cereales,graines de sesame et produits a base de graines de sesame,oeufs et produits a base  oeufs",B,https://www.auchan.fr/auchan-le-traiteur-riz-cantonais/pr-C1405588,2661,na,na
76 MAISON TINO     Parmentier de canard 750g3-4 portions,lait,C,https://www.auchan.fr/maison-tino-parmentier-de-canard/pr-C1347983,2662,"la viande est effilochee avec une fondue  oignons et recouverte  une onctueuse puree""maison"" parce que la veritable cuisine se fait avec de bons produits naturels, sans artifice  pas besoin  additif, de conservateur ni de rien du tout ",na
1 RETHEL CHARCUTERIE     Boudin blanc truffé 350g3 pièces,oeuf lait ,na,https://www.auchan.fr/rethel-charcuterie-boudin-blanc-truffe/pr-C1348781,2663,boudin blanc de rethel igp truffe ,na
15           Tagliatelles au saumon 450g1 portion,"poissons, crustaces, oeuf, ble, lait",B,https://www.auchan.fr/tagliatelles-au-saumon/pr-C1349851,2664,na,na
AUCHAN LE TRAITEUR     Bauletto chèvre citron pâtes aux oeufs frais 250g2 portions,na,na,https://www.auchan.fr/auchan-le-traiteur-bauletto-chevre-citron-pates-aux-oeufs-frais/pr-C1352371,2665,na,na
1 AUCHAN LE TRAITEUR     Tagliatelles à la tomate 500g4 portions,"oeuf, glutentraces eventuelles de lait, celeri, poisson",na,https://www.auchan.fr/auchan-le-traiteur-tagliatelles-a-la-tomate/pr-C1348370,2666,na,na
6 AUCHAN LE TRAITEUR     Tagliatelles au basilic 500g4 portions,"oeuf, gluten traces eventuelles de lait   celeri   poisson ",na,https://www.auchan.fr/auchan-le-traiteur-tagliatelles-au-basilic/pr-C1350270,2667,na,na
PERE DODU     Le haché de poulet sans traitement antibiotique 2x100g2 portions,na,B,https://www.auchan.fr/pere-dodu-le-hache-de-poulet-sans-traitement-antibiotique/pr-C1301735,2668,na,na
CASA LEONARDO     Pizza Reine 510g,"cereales contenant du gluten, lait",na,https://www.auchan.fr/casa-leonardo-pizza-reine/pr-C1363886,2669,na,na
CASA LEONARDO     Pizza 4 fromages  510g,"cereales contenant du gluten, lait",na,https://www.auchan.fr/casa-leonardo-pizza-4-fromages/pr-C1382613,2670,na,na
AUCHAN LE TRAITEUR     Flamiche au maroille 400g1 personne,"presence de   ble ou hybrides et produits a base de ces cereales,lait et produits a base de lait  y compris lactose,oeufs et produits a base  oeufs",D,https://www.auchan.fr/auchan-le-traiteur-flamiche-au-maroille/pr-C1382662,2671,na,na
CASA LEONARDO     Pizza au fromage de chèvre 510g,ble  gluten    lait   ,na,https://www.auchan.fr/casa-leonardo-pizza-au-fromage-de-chevre/pr-C1352407,2672,na,na
CASA LEONARDO     Pizza garnie au speck 510g,"cereales contenant du gluten, lait",na,https://www.auchan.fr/casa-leonardo-pizza-garnie-au-speck/pr-C1352408,2673,na,na
Pizza cuite à la tartiflette 500g,"lait, gluten",na,https://www.auchan.fr/pizza-cuite-a-la-tartiflette/pr-C1500567,2674,na,na
Pizza cuite Normande 500g,"gluten, lait",na,https://www.auchan.fr/pizza-cuite-normande/pr-C1500565,2675,na,na
Pizza cuite jambon et fromage 500g,"gluten, lait, ",na,https://www.auchan.fr/pizza-cuite-jambon-et-fromage/pr-C1500566,2676,na,na
HERTA     Le bon végétal saucisses crues nature 180g2 saucisses,soja,B,https://www.auchan.fr/herta-le-bon-vegetal-saucisses-crues-nature/pr-C1333425,2677,na,na
41 AUCHAN     Pizza 4 fromages 450g,"presence de   ble ou hybrides et produits a base de ces cereales,lait et produits a base de lait  y compris lactose ",C,https://www.auchan.fr/auchan-pizza-4-fromages/pr-C1219038,2678,na,na
